Date,Open,High,Low,Close,Volume,Adj Close
2014-11-03,2018.209961,2075.76001,2001.01001,2067.560059,3479201500,2067.560059
2014-10-01,1971.439941,2018.189941,1820.660034,2018.050049,4260310800,2018.050049
2014-09-02,2004.069946,2019.26001,1964.040039,1972.290039,3364623800,1972.290039
2014-08-01,1929.800049,2005.040039,1904.780029,2003.369995,2875718500,2003.369995
2014-07-01,1962.290039,1991.390015,1930.670044,1930.670044,3214440400,1930.670044
2014-06-02,1923.869995,1968.170044,1915.97998,1960.22998,3158130000,1960.22998
2014-05-01,1884.390015,1924.030029,1859.790039,1923.569946,3185100900,1923.569946
2014-04-01,1873.959961,1897.280029,1814.359985,1883.949951,3589287600,1883.949951
2014-03-03,1857.680054,1883.969971,1834.439941,1872.339966,3579015700,1872.339966
2014-02-03,1782.680054,1867.920044,1737.920044,1859.449951,3875949400,1859.449951
2014-01-02,1845.859985,1850.839966,1770.449951,1782.589966,3806266600,1782.589966
2013-12-02,1806.550049,1849.439941,1767.98999,1848.359985,3203412300,1848.359985
2013-11-01,1758.699951,1813.550049,1746.199951,1805.810059,3261324500,1805.810059
2013-10-01,1682.410034,1775.219971,1646.469971,1756.540039,3498866500,1756.540039
2013-09-03,1635.949951,1729.859985,1633.410034,1681.550049,3474152000,1681.550049
2013-08-01,1689.420044,1709.670044,1627.469971,1632.969971,3069868600,1632.969971
2013-07-01,1609.780029,1698.780029,1604.569946,1685.72998,3270645900,1685.72998
2013-06-03,1631.709961,1654.189941,1560.329956,1606.280029,3996199000,1606.280029
2013-05-01,1597.550049,1687.180054,1581.280029,1630.73999,3661220400,1630.73999
2013-04-01,1569.180054,1597.569946,1536.030029,1597.569946,3674685000,1597.569946
2013-03-01,1514.680054,1570.280029,1501.47998,1569.189941,3591577500,1569.189941
2013-02-01,1498.109985,1530.939941,1485.01001,1514.680054,3851884200,1514.680054
2013-01-02,1426.189941,1509.939941,1426.189941,1498.109985,3802304200,1498.109985
2012-12-03,1416.339966,1448,1398.109985,1426.189941,3479625500,1426.189941
2012-11-01,1412.199951,1434.27002,1343.349976,1416.180054,3593110000,1416.180054
2012-10-01,1440.900024,1470.959961,1403.280029,1412.160034,3587115700,1412.160034
2012-09-04,1406.540039,1474.51001,1396.560059,1440.670044,3857553100,1440.670044
2012-08-01,1379.319946,1426.680054,1354.650024,1406.579956,3183567800,1406.579956
2012-07-02,1362.329956,1391.73999,1325.410034,1379.319946,3663113300,1379.319946
2012-06-01,1309.869995,1363.459961,1266.73999,1362.160034,4103472300,1362.160034
2012-05-01,1397.859985,1415.319946,1291.97998,1310.329956,4158095900,1310.329956
2012-04-02,1408.469971,1422.380005,1357.380005,1397.910034,3916786000,1397.910034
2012-03-01,1365.900024,1419.150024,1340.030029,1408.469971,3980752200,1408.469971
2012-02-01,1312.449951,1378.040039,1312.449951,1365.680054,4143404000,1365.680054
2012-01-03,1258.859985,1333.469971,1258.859985,1312.410034,4190155500,1312.410034
2011-12-01,1246.910034,1269.369995,1202.369995,1257.599976,3667346600,1257.599976
2011-11-01,1251,1277.550049,1158.660034,1246.959961,4289379000,1246.959961
2011-10-03,1131.209961,1292.660034,1074.77002,1253.300049,4874946600,1253.300049
2011-09-01,1219.119995,1229.290039,1114.219971,1131.420044,5104933800,1131.420044
2011-08-01,1292.589966,1307.380005,1101.540039,1218.890015,4942913400,1218.890015
2011-07-01,1320.640015,1356.47998,1282.859985,1292.280029,4308168000,1292.280029
2011-06-01,1345.199951,1345.199951,1258.069946,1320.640015,4105601300,1320.640015
2011-05-02,1365.209961,1370.579956,1311.800049,1345.199951,4114534200,1345.199951
2011-04-01,1329.47998,1364.560059,1294.699951,1363.609985,4042194000,1363.609985
2011-03-01,1328.640015,1332.280029,1249.050049,1325.829956,4046691700,1325.829956
2011-02-01,1289.140015,1344.069946,1289.140015,1327.219971,3182974200,1327.219971
2011-01-03,1257.619995,1302.670044,1257.619995,1286.119995,4816605000,1286.119995
2010-12-01,1186.599976,1262.599976,1186.599976,1257.640015,3762922700,1257.640015
2010-11-01,1185.709961,1227.079956,1173,1180.550049,4354084200,1180.550049
2010-10-01,1143.48999,1196.140015,1131.869995,1183.26001,4432102300,1183.26001
2010-09-01,1049.719971,1157.160034,1049.719971,1141.199951,3993981400,1141.199951
2010-08-02,1107.530029,1129.23999,1039.699951,1049.329956,4080773600,1049.329956
2010-07-01,1031.099976,1120.949951,1010.909973,1101.599976,4704026600,1101.599976
2010-06-01,1087.300049,1131.22998,1028.329956,1030.709961,5235174000,1030.709961
2010-05-03,1188.579956,1205.130005,1040.780029,1089.410034,6626699400,1089.410034
2010-04-01,1171.22998,1219.800049,1170.689941,1186.689941,5847150900,1186.689941
2010-03-01,1105.359985,1180.689941,1105.359985,1169.430054,4702951700,1169.430054
2010-02-01,1073.890015,1112.420044,1044.5,1104.48999,4658238400,1104.48999
2010-01-04,1116.560059,1150.449951,1071.589966,1073.869995,5071601500,1073.869995
